property_id,address,neighborhood,property_type,assessed_value,bedrooms,bathrooms,square_feet,year_built,lot_size,assessment_year
T1000,100 Sample Street,Downtown,Detached,561873,1,1,1591,1950,3000,2024
T1001,101 Sample Street,Midtown,Semi-Detached,593460,2,2,1489,1951,3050,2024
T1002,102 Sample Street,North York,Townhouse,646185,3,3,980,1952,3100,2024
T1003,103 Sample Street,Etobicoke,Condo,580045,4,1,1826,1953,3150,2024
T1004,104 Sample Street,Scarborough,Condo Townhouse,791017,1,2,892,1954,3200,2024
T1005,105 Sample Street,The Beaches,Detached,864819,2,3,1641,1955,3250,2024
T1006,106 Sample Street,Leslieville,Semi-Detached,610622,3,1,1539,1956,3300,2024
T1007,107 Sample Street,King West,Townhouse,571638,4,2,1030,1957,3350,2024
T1008,108 Sample Street,Liberty Village,Condo,559202,1,3,1876,1958,3400,2024
T1009,109 Sample Street,Corktown,Condo Townhouse,988529,2,1,942,1959,3450,2024
T1010,110 Sample Street,Downtown,Detached,571873,3,2,1691,1960,3500,2024
T1011,111 Sample Street,Midtown,Semi-Detached,603460,4,3,1589,1961,3550,2024
T1012,112 Sample Street,North York,Townhouse,656185,1,1,1080,1962,3600,2024
T1013,113 Sample Street,Etobicoke,Condo,590045,2,2,1926,1963,3650,2024
T1014,114 Sample Street,Scarborough,Condo Townhouse,801017,3,3,992,1964,3700,2024
T1015,115 Sample Street,The Beaches,Detached,874819,4,1,1741,1965,3750,2024
T1016,116 Sample Street,Leslieville,Semi-Detached,620622,1,2,1639,1966,3800,2024
T1017,117 Sample Street,King West,Townhouse,581638,2,3,1130,1967,3850,2024
T1018,118 Sample Street,Liberty Village,Condo,569202,3,1,1976,1968,3900,2024
T1019,119 Sample Street,Corktown,Condo Townhouse,998529,4,2,1042,1969,3950,2024
T1020,120 Sample Street,Downtown,Detached,581873,1,3,1791,1970,4000,2024
T1021,121 Sample Street,Midtown,Semi-Detached,613460,2,1,1689,1971,4050,2024
T1022,122 Sample Street,North York,Townhouse,666185,3,2,1180,1972,4100,2024
T1023,123 Sample Street,Etobicoke,Condo,600045,4,3,2026,1973,4150,2024
T1024,124 Sample Street,Scarborough,Condo Townhouse,811017,1,1,1092,1974,4200,2024
T1025,125 Sample Street,The Beaches,Detached,884819,2,2,1841,1975,4250,2024
T1026,126 Sample Street,Leslieville,Semi-Detached,630622,3,3,1739,1976,4300,2024
T1027,127 Sample Street,King West,Townhouse,591638,4,1,1230,1977,4350,2024
T1028,128 Sample Street,Liberty Village,Condo,579202,1,2,2076,1978,4400,2024
T1029,129 Sample Street,Corktown,Condo Townhouse,1008529,2,3,1142,1979,4450,2024
T1030,130 Sample Street,Downtown,Detached,591873,3,1,1891,1980,4500,2024
T1031,131 Sample Street,Midtown,Semi-Detached,623460,4,2,1789,1981,4550,2024
T1032,132 Sample Street,North York,Townhouse,676185,1,3,1280,1982,4600,2024
T1033,133 Sample Street,Etobicoke,Condo,610045,2,1,2126,1983,4650,2024
T1034,134 Sample Street,Scarborough,Condo Townhouse,821017,3,2,1192,1984,4700,2024
T1035,135 Sample Street,The Beaches,Detached,894819,4,3,1941,1985,4750,2024
T1036,136 Sample Street,Leslieville,Semi-Detached,640622,1,1,1839,1986,4800,2024
T1037,137 Sample Street,King West,Townhouse,601638,2,2,1330,1987,4850,2024
T1038,138 Sample Street,Liberty Village,Condo,589202,3,3,2176,1988,4900,2024
T1039,139 Sample Street,Corktown,Condo Townhouse,1018529,4,1,1242,1989,4950,2024
T1040,140 Sample Street,Downtown,Detached,601873,1,2,1991,1990,5000,2024
T1041,141 Sample Street,Midtown,Semi-Detached,633460,2,3,1889,1991,5050,2024
T1042,142 Sample Street,North York,Townhouse,686185,3,1,1380,1992,5100,2024
T1043,143 Sample Street,Etobicoke,Condo,620045,4,2,2226,1993,5150,2024
T1044,144 Sample Street,Scarborough,Condo Townhouse,831017,1,3,1292,1994,5200,2024
T1045,145 Sample Street,The Beaches,Detached,904819,2,1,2041,1995,5250,2024
T1046,146 Sample Street,Leslieville,Semi-Detached,650622,3,2,1939,1996,5300,2024
T1047,147 Sample Street,King West,Townhouse,611638,4,3,1430,1997,5350,2024
T1048,148 Sample Street,Liberty Village,Condo,599202,1,1,2276,1998,5400,2024
T1049,149 Sample Street,Corktown,Condo Townhouse,1028529,2,2,1342,1999,5450,2024
T1050,150 Sample Street,Downtown,Detached,611873,3,3,2091,2000,5500,2024
T1051,151 Sample Street,Midtown,Semi-Detached,643460,4,1,1989,2001,5550,2024
T1052,152 Sample Street,North York,Townhouse,696185,1,2,1480,2002,5600,2024
T1053,153 Sample Street,Etobicoke,Condo,630045,2,3,2326,2003,5650,2024
T1054,154 Sample Street,Scarborough,Condo Townhouse,841017,3,1,1392,2004,5700,2024
T1055,155 Sample Street,The Beaches,Detached,914819,4,2,2141,2005,5750,2024
T1056,156 Sample Street,Leslieville,Semi-Detached,660622,1,3,2039,2006,5800,2024
T1057,157 Sample Street,King West,Townhouse,621638,2,1,1530,2007,5850,2024
T1058,158 Sample Street,Liberty Village,Condo,609202,3,2,2376,2008,5900,2024
T1059,159 Sample Street,Corktown,Condo Townhouse,1038529,4,3,1442,2009,5950,2024
T1060,160 Sample Street,Downtown,Detached,621873,1,1,2191,2010,6000,2024
T1061,161 Sample Street,Midtown,Semi-Detached,653460,2,2,2089,2011,6050,2024
T1062,162 Sample Street,North York,Townhouse,706185,3,3,1580,2012,6100,2024
T1063,163 Sample Street,Etobicoke,Condo,640045,4,1,2426,2013,6150,2024
T1064,164 Sample Street,Scarborough,Condo Townhouse,851017,1,2,1492,2014,6200,2024
T1065,165 Sample Street,The Beaches,Detached,924819,2,3,2241,2015,6250,2024
T1066,166 Sample Street,Leslieville,Semi-Detached,670622,3,1,2139,2016,6300,2024
T1067,167 Sample Street,King West,Townhouse,631638,4,2,1630,2017,6350,2024
T1068,168 Sample Street,Liberty Village,Condo,619202,1,3,2476,2018,6400,2024
T1069,169 Sample Street,Corktown,Condo Townhouse,1048529,2,1,1542,2019,6450,2024
T1070,170 Sample Street,Downtown,Detached,631873,3,2,2291,1950,6500,2024
T1071,171 Sample Street,Midtown,Semi-Detached,663460,4,3,2189,1951,6550,2024
T1072,172 Sample Street,North York,Townhouse,716185,1,1,1680,1952,6600,2024
T1073,173 Sample Street,Etobicoke,Condo,650045,2,2,2526,1953,6650,2024
T1074,174 Sample Street,Scarborough,Condo Townhouse,861017,3,3,1592,1954,6700,2024
T1075,175 Sample Street,The Beaches,Detached,934819,4,1,2341,1955,6750,2024
T1076,176 Sample Street,Leslieville,Semi-Detached,680622,1,2,2239,1956,6800,2024
T1077,177 Sample Street,King West,Townhouse,641638,2,3,1730,1957,6850,2024
T1078,178 Sample Street,Liberty Village,Condo,629202,3,1,2576,1958,6900,2024
T1079,179 Sample Street,Corktown,Condo Townhouse,1058529,4,2,1642,1959,6950,2024
T1080,180 Sample Street,Downtown,Detached,641873,1,3,2391,1960,7000,2024
T1081,181 Sample Street,Midtown,Semi-Detached,673460,2,1,2289,1961,7050,2024
T1082,182 Sample Street,North York,Townhouse,726185,3,2,1780,1962,7100,2024
T1083,183 Sample Street,Etobicoke,Condo,660045,4,3,2626,1963,7150,2024
T1084,184 Sample Street,Scarborough,Condo Townhouse,871017,1,1,1692,1964,7200,2024
T1085,185 Sample Street,The Beaches,Detached,944819,2,2,2441,1965,7250,2024
T1086,186 Sample Street,Leslieville,Semi-Detached,690622,3,3,2339,1966,7300,2024
T1087,187 Sample Street,King West,Townhouse,651638,4,1,1830,1967,7350,2024
T1088,188 Sample Street,Liberty Village,Condo,639202,1,2,2676,1968,7400,2024
T1089,189 Sample Street,Corktown,Condo Townhouse,1068529,2,3,1742,1969,7450,2024
T1090,190 Sample Street,Downtown,Detached,651873,3,1,2491,1970,7500,2024
T1091,191 Sample Street,Midtown,Semi-Detached,683460,4,2,2389,1971,7550,2024
T1092,192 Sample Street,North York,Townhouse,736185,1,3,1880,1972,7600,2024
T1093,193 Sample Street,Etobicoke,Condo,670045,2,1,2726,1973,7650,2024
T1094,194 Sample Street,Scarborough,Condo Townhouse,881017,3,2,1792,1974,7700,2024
T1095,195 Sample Street,The Beaches,Detached,954819,4,3,2541,1975,7750,2024
T1096,196 Sample Street,Leslieville,Semi-Detached,700622,1,1,2439,1976,7800,2024
T1097,197 Sample Street,King West,Townhouse,661638,2,2,1930,1977,7850,2024
T1098,198 Sample Street,Liberty Village,Condo,649202,3,3,2776,1978,7900,2024
T1099,199 Sample Street,Corktown,Condo Townhouse,1078529,4,1,1842,1979,7950,2024
T1100,200 Sample Street,Downtown,Detached,661873,1,2,2591,1980,8000,2024
T1101,201 Sample Street,Midtown,Semi-Detached,693460,2,3,2489,1981,8050,2024
T1102,202 Sample Street,North York,Townhouse,746185,3,1,1980,1982,8100,2024
T1103,203 Sample Street,Etobicoke,Condo,680045,4,2,2826,1983,8150,2024
T1104,204 Sample Street,Scarborough,Condo Townhouse,891017,1,3,1892,1984,8200,2024
T1105,205 Sample Street,The Beaches,Detached,964819,2,1,2641,1985,8250,2024
T1106,206 Sample Street,Leslieville,Semi-Detached,710622,3,2,2539,1986,8300,2024
T1107,207 Sample Street,King West,Townhouse,671638,4,3,2030,1987,8350,2024
T1108,208 Sample Street,Liberty Village,Condo,659202,1,1,2876,1988,8400,2024
T1109,209 Sample Street,Corktown,Condo Townhouse,1088529,2,2,1942,1989,8450,2024
T1110,210 Sample Street,Downtown,Detached,671873,3,3,2691,1990,8500,2024
T1111,211 Sample Street,Midtown,Semi-Detached,703460,4,1,2589,1991,8550,2024
T1112,212 Sample Street,North York,Townhouse,756185,1,2,2080,1992,8600,2024
T1113,213 Sample Street,Etobicoke,Condo,690045,2,3,2926,1993,8650,2024
T1114,214 Sample Street,Scarborough,Condo Townhouse,901017,3,1,1992,1994,8700,2024
T1115,215 Sample Street,The Beaches,Detached,974819,4,2,2741,1995,8750,2024
T1116,216 Sample Street,Leslieville,Semi-Detached,720622,1,3,2639,1996,8800,2024
T1117,217 Sample Street,King West,Townhouse,681638,2,1,2130,1997,8850,2024
T1118,218 Sample Street,Liberty Village,Condo,669202,3,2,2976,1998,8900,2024
T1119,219 Sample Street,Corktown,Condo Townhouse,1098529,4,3,2042,1999,8950,2024
T1120,220 Sample Street,Downtown,Detached,681873,1,1,2791,2000,9000,2024
T1121,221 Sample Street,Midtown,Semi-Detached,713460,2,2,2689,2001,9050,2024
T1122,222 Sample Street,North York,Townhouse,766185,3,3,2180,2002,9100,2024
T1123,223 Sample Street,Etobicoke,Condo,700045,4,1,3026,2003,9150,2024
T1124,224 Sample Street,Scarborough,Condo Townhouse,911017,1,2,2092,2004,9200,2024
T1125,225 Sample Street,The Beaches,Detached,984819,2,3,2841,2005,9250,2024
T1126,226 Sample Street,Leslieville,Semi-Detached,730622,3,1,2739,2006,9300,2024
T1127,227 Sample Street,King West,Townhouse,691638,4,2,2230,2007,9350,2024
T1128,228 Sample Street,Liberty Village,Condo,679202,1,3,3076,2008,9400,2024
T1129,229 Sample Street,Corktown,Condo Townhouse,1108529,2,1,2142,2009,9450,2024
T1130,230 Sample Street,Downtown,Detached,691873,3,2,2891,2010,9500,2024
T1131,231 Sample Street,Midtown,Semi-Detached,723460,4,3,2789,2011,9550,2024
T1132,232 Sample Street,North York,Townhouse,776185,1,1,2280,2012,9600,2024
T1133,233 Sample Street,Etobicoke,Condo,710045,2,2,3126,2013,9650,2024
T1134,234 Sample Street,Scarborough,Condo Townhouse,921017,3,3,2192,2014,9700,2024
